screen_share_duration,banking_app_opened,new_beneficiary,transaction_amount,app_switch_count,session_duration,time_between_events,known_assistant,first_time_assistance,transaction_velocity,navigation_back_count,authentication_event,assistance_history,label,label_name
0.0,1,0,1137.89,1,325.6,2.26,0,0,0.2,0,1,0,0,LEGITIMATE
388.0,1,1,224735.79,8,590.6,2.9,0,1,4.18,4,1,0,2,COACHED_SCAM
267.2,1,0,9130.19,2,392.3,4.33,1,0,0.55,4,1,7,0,LEGITIMATE
291.4,1,0,1071.87,0,474.5,8.61,1,1,0.13,2,1,0,0,LEGITIMATE
123.7,1,0,18947.6,7,297.2,3.82,0,1,1.45,1,1,0,1,SUSPICIOUS
0.0,1,0,2692.04,1,117.2,1.2,0,0,0.09,1,1,0,0,LEGITIMATE
0.0,1,1,3725.33,0,140.6,4.12,0,0,0.1,1,1,1,0,LEGITIMATE
0.0,1,0,9534.43,1,549.3,5.92,0,0,0.26,2,1,0,0,LEGITIMATE
0.0,1,0,2850.24,3,45.7,5.65,0,0,0.18,1,1,0,0,LEGITIMATE
0.0,1,0,734.65,1,125.5,3.05,0,0,0.5,1,0,0,0,LEGITIMATE
268.5,1,1,119966.38,16,326.5,1.93,0,1,2.89,7,1,0,2,COACHED_SCAM
0.0,1,0,3104.51,1,186.9,3.61,0,0,0.27,1,1,0,0,LEGITIMATE
0.0,1,1,3646.85,2,100.7,2.71,0,0,0.66,2,1,0,0,LEGITIMATE
186.3,1,1,398333.31,10,269.0,2.22,0,1,2.88,11,1,0,2,COACHED_SCAM
0.0,1,0,882.27,0,238.7,3.92,0,0,0.21,1,1,0,0,LEGITIMATE
207.0,1,0,6075.32,1,398.2,6.75,1,1,0.36,2,1,0,0,LEGITIMATE
331.2,1,1,259459.49,12,418.8,1.2,0,1,1.43,5,1,0,2,COACHED_SCAM
244.0,1,1,15269.01,7,259.7,0.76,0,1,2.63,5,1,0,2,COACHED_SCAM
0.0,1,1,3346.45,0,88.0,3.51,0,0,0.15,4,1,2,0,LEGITIMATE
0.0,1,0,174.7,2,191.5,4.84,0,0,0.18,1,1,1,0,LEGITIMATE
0.0,1,0,2660.28,0,144.9,3.46,0,0,0.11,0,1,0,0,LEGITIMATE
0.0,1,1,908.35,3,240.3,5.17,0,0,0.18,2,1,0,0,LEGITIMATE
0.0,1,0,18378.87,2,355.1,4.45,0,0,0.13,1,1,1,0,LEGITIMATE
0.0,1,0,2842.13,1,172.1,3.01,0,0,0.06,0,1,0,0,LEGITIMATE
162.5,1,0,8221.58,1,292.4,3.12,1,0,0.27,0,1,5,0,LEGITIMATE
344.9,1,1,370102.62,20,508.6,2.15,0,1,4.12,5,1,0,2,COACHED_SCAM
0.0,1,0,472.93,1,178.2,5.02,0,0,0.3,1,1,1,0,LEGITIMATE
365.9,1,1,10192.76,3,617.9,5.55,1,0,0.69,2,1,4,0,LEGITIMATE
126.5,1,0,3307.04,8,175.7,3.41,0,1,0.6,1,1,0,1,SUSPICIOUS
0.0,1,0,2443.82,3,269.6,3.56,0,0,0.49,0,1,1,0,LEGITIMATE
0.0,1,1,23153.69,6,326.6,1.7,0,0,2.77,5,1,0,1,SUSPICIOUS
782.2,1,1,248868.49,15,882.6,3.09,0,1,3.21,8,1,0,2,COACHED_SCAM
392.3,1,1,61042.44,16,464.2,1.45,0,1,4.28,6,1,0,2,COACHED_SCAM
0.0,1,0,9035.22,2,405.4,2.5,0,0,0.12,1,1,0,0,LEGITIMATE
245.8,1,1,35524.97,1,294.2,3.7,1,0,0.35,4,1,9,0,LEGITIMATE
252.1,1,1,62373.86,10,352.1,1.36,0,1,1.71,12,1,0,2,COACHED_SCAM
0.0,1,0,3275.25,3,457.9,3.42,0,0,0.43,1,1,0,0,LEGITIMATE
0.0,1,0,2085.72,2,85.1,1.4,0,0,0.12,1,1,0,0,LEGITIMATE
369.2,1,0,91633.8,10,419.5,1.78,0,1,2.82,7,1,0,2,COACHED_SCAM
0.0,1,1,80637.82,4,174.6,2.35,0,0,1.71,1,1,0,1,SUSPICIOUS
0.0,0,0,2007.7,1,113.2,2.95,0,0,0.13,1,1,0,0,LEGITIMATE
0.0,1,0,669.88,1,151.4,5.3,0,0,0.54,0,1,0,0,LEGITIMATE
279.9,1,0,4255.55,8,333.3,4.99,0,1,0.35,2,1,0,1,SUSPICIOUS
0.0,1,0,7727.16,0,511.0,5.47,0,0,0.24,3,1,0,0,LEGITIMATE
0.0,1,0,2161.41,1,214.6,4.9,0,0,0.24,2,1,0,0,LEGITIMATE
0.0,1,0,844.83,2,160.2,3.57,0,0,1.02,1,1,0,0,LEGITIMATE
159.5,1,1,39549.21,13,225.4,1.63,0,0,3.51,7,1,0,2,COACHED_SCAM
205.2,1,1,448649.54,13,296.1,2.89,0,1,2.24,7,1,0,2,COACHED_SCAM
0.0,0,0,1838.72,1,169.8,5.37,0,0,0.14,1,1,2,0,LEGITIMATE
276.8,1,0,3509.75,2,311.3,4.47,0,1,0.65,3,1,0,1,SUSPICIOUS
0.0,1,1,66937.94,2,360.0,2.02,0,0,0.34,2,1,0,0,LEGITIMATE
252.3,1,1,6148.1,10,353.5,1.24,0,1,2.93,3,1,0,2,COACHED_SCAM
300.6,1,0,37190.34,1,491.8,4.1,1,0,0.11,0,1,8,0,LEGITIMATE
0.0,1,0,3273.76,1,195.7,5.42,0,0,0.13,0,1,0,0,LEGITIMATE
412.0,1,1,105214.01,9,613.1,1.85,0,1,3.9,7,1,0,2,COACHED_SCAM
0.0,1,1,2186.44,1,164.2,5.75,0,0,0.12,0,1,0,0,LEGITIMATE
117.1,1,0,32959.56,3,162.2,3.4,0,1,1.42,2,1,0,1,SUSPICIOUS
0.0,1,1,25311.85,8,321.3,1.43,0,0,2.13,2,1,0,1,SUSPICIOUS
176.3,1,1,299048.73,9,256.1,1.82,0,1,3.61,4,1,0,2,COACHED_SCAM
132.3,1,1,28195.96,9,208.0,4.47,0,1,0.7,4,1,0,1,SUSPICIOUS
151.6,1,1,447385.34,13,215.8,1.74,0,1,4.1,8,1,0,2,COACHED_SCAM
31.3,1,0,12859.34,7,179.8,2.57,0,1,1.49,8,1,0,1,SUSPICIOUS
0.0,1,0,40705.4,4,437.4,3.19,0,1,1.74,9,0,1,1,SUSPICIOUS
310.8,1,1,339272.67,13,325.1,2.41,0,1,2.15,9,1,0,2,COACHED_SCAM
243.1,1,0,6736.88,4,365.7,3.05,0,1,1.34,6,1,0,1,SUSPICIOUS
280.3,1,1,214080.95,17,392.1,3.09,0,1,2.83,6,1,0,2,COACHED_SCAM
0.0,1,0,3307.34,0,98.1,7.04,0,0,0.19,0,1,0,0,LEGITIMATE
483.1,1,1,187825.35,18,517.8,1.21,0,1,3.02,11,1,0,2,COACHED_SCAM
233.2,1,0,1745.81,3,336.0,4.86,0,1,0.25,3,1,0,1,SUSPICIOUS
0.0,1,0,2378.21,0,415.5,3.91,0,0,0.41,3,1,1,0,LEGITIMATE
0.0,0,0,6328.64,2,109.8,5.26,0,0,0.22,2,1,0,0,LEGITIMATE
354.8,1,0,32550.86,1,549.4,4.18,0,1,0.73,2,1,0,1,SUSPICIOUS
253.5,1,0,14703.77,8,352.3,3.72,1,0,0.72,2,0,7,0,LEGITIMATE
0.0,1,0,494.63,1,145.0,3.19,0,0,0.19,3,1,0,0,LEGITIMATE
0.0,1,0,83181.16,2,214.7,2.51,0,0,1.65,2,1,0,1,SUSPICIOUS
0.0,1,0,1862.92,2,207.6,6.58,0,0,0.37,1,1,0,0,LEGITIMATE
163.9,1,0,1345.17,0,219.4,3.27,0,1,0.52,1,1,0,1,SUSPICIOUS
440.0,1,0,15838.72,2,606.3,4.99,1,0,0.16,1,1,5,0,LEGITIMATE
318.3,1,1,94043.25,9,461.5,4.45,0,1,2.06,12,1,0,2,COACHED_SCAM
0.0,1,0,1395.43,0,144.6,2.9,0,0,0.54,0,1,0,0,LEGITIMATE
519.9,1,0,4723.94,0,555.7,2.0,1,1,0.16,2,1,0,0,LEGITIMATE
0.0,1,1,11818.93,2,690.9,7.34,0,0,0.11,2,1,0,0,LEGITIMATE
0.0,1,0,37078.41,6,204.6,2.95,0,1,1.95,7,1,0,1,SUSPICIOUS
155.8,1,1,2795.17,4,263.4,3.82,1,0,0.3,4,1,7,0,LEGITIMATE
357.9,0,1,219912.46,13,416.8,1.23,0,1,4.34,9,1,0,2,COACHED_SCAM
207.4,1,0,15836.97,5,330.6,5.66,1,0,0.22,3,1,1,0,LEGITIMATE
0.0,1,0,84744.51,1,318.4,3.38,0,0,0.23,0,1,0,0,LEGITIMATE
114.4,1,1,32346.22,5,209.4,2.12,0,1,1.59,5,1,0,1,SUSPICIOUS
417.3,1,1,27942.2,7,592.6,2.8,0,1,3.7,11,1,0,2,COACHED_SCAM
343.5,1,1,465324.73,17,383.0,2.05,0,0,2.6,11,1,0,2,COACHED_SCAM
521.8,1,1,280678.84,19,563.9,1.79,0,1,2.13,12,1,0,2,COACHED_SCAM
255.0,1,0,75511.21,2,340.3,5.53,1,1,0.3,1,1,0,0,LEGITIMATE
80.9,1,0,2256.62,2,147.9,2.78,0,1,0.71,3,1,0,1,SUSPICIOUS
0.0,1,0,2299.12,3,171.1,1.2,0,0,0.29,1,1,0,0,LEGITIMATE
131.1,1,0,1949.52,6,325.4,2.84,0,1,1.05,2,1,0,1,SUSPICIOUS
111.6,1,0,3523.83,5,139.4,4.96,0,1,0.61,1,1,0,1,SUSPICIOUS
206.2,1,1,7194.9,4,406.2,3.7,1,1,0.36,0,1,0,0,LEGITIMATE
0.0,1,0,1581.87,1,363.9,3.14,0,0,0.14,0,0,0,0,LEGITIMATE
426.5,1,1,458.11,10,475.6,3.25,0,1,2.6,9,1,0,2,COACHED_SCAM
384.8,1,1,270720.81,18,449.1,0.99,0,1,4.03,3,1,0,2,COACHED_SCAM
0.0,1,0,1444.46,1,176.2,4.45,0,0,0.38,0,1,0,0,LEGITIMATE
295.0,1,1,359679.83,16,398.3,1.66,0,1,4.47,3,1,0,2,COACHED_SCAM
0.0,1,0,4406.14,1,657.9,6.63,0,0,0.32,2,1,0,0,LEGITIMATE
0.0,1,0,2692.12,2,183.3,5.37,0,0,0.32,0,1,0,0,LEGITIMATE
323.6,1,1,6217.54,12,412.4,0.94,0,1,3.75,7,0,0,2,COACHED_SCAM
0.0,1,0,1429.06,2,322.9,3.85,0,0,0.57,1,1,1,0,LEGITIMATE
0.0,1,0,15185.32,0,343.5,1.68,0,0,0.13,0,1,1,0,LEGITIMATE
0.0,1,0,1066.48,2,178.3,2.0,0,0,0.15,0,1,0,0,LEGITIMATE
0.0,1,1,49023.12,8,202.8,1.27,0,0,3.1,4,1,0,1,SUSPICIOUS
0.0,1,0,23263.82,9,179.9,2.96,1,0,0.82,4,1,1,1,SUSPICIOUS
0.0,1,0,88799.24,2,220.0,3.42,0,0,0.06,0,1,0,0,LEGITIMATE
0.0,1,0,1479.33,1,117.5,2.67,0,0,0.06,1,1,1,0,LEGITIMATE
0.0,1,0,12295.44,2,726.1,5.93,0,0,0.18,2,1,0,0,LEGITIMATE
0.0,1,0,1443.71,2,248.4,3.91,0,0,0.15,2,1,2,0,LEGITIMATE
0.0,1,0,73.98,2,208.3,4.45,0,0,0.16,0,1,0,0,LEGITIMATE
0.0,1,0,2095.16,2,159.9,5.44,0,0,0.08,0,1,2,0,LEGITIMATE
0.0,1,0,1094.92,2,308.7,4.39,0,0,0.74,0,1,0,0,LEGITIMATE
84.5,1,1,12178.94,1,251.6,2.64,0,1,1.32,6,1,0,1,SUSPICIOUS
319.1,1,1,186556.11,17,338.3,0.95,0,1,2.48,14,1,0,2,COACHED_SCAM
0.0,1,0,903.95,0,149.0,3.6,0,0,0.19,0,1,0,0,LEGITIMATE
0.0,1,0,2425.73,0,82.9,4.39,0,0,0.07,1,1,0,0,LEGITIMATE
250.0,1,1,16539.56,3,303.7,5.57,1,1,0.71,4,1,0,0,LEGITIMATE
180.1,1,0,22484.11,0,299.6,4.53,1,1,0.66,0,1,0,0,LEGITIMATE
90.6,1,0,1555.72,2,159.7,4.9,0,1,0.22,1,1,0,1,SUSPICIOUS
443.7,1,1,18383.88,18,491.2,2.36,0,1,3.94,11,1,0,2,COACHED_SCAM
0.0,1,1,1066.12,1,226.9,3.02,0,0,0.34,1,1,0,0,LEGITIMATE
326.4,1,1,8143.91,8,398.3,1.69,0,1,1.43,4,0,0,2,COACHED_SCAM
254.3,1,0,9583.24,2,523.6,7.63,1,0,0.1,1,1,6,0,LEGITIMATE
136.6,1,0,16630.37,3,369.3,2.53,0,1,1.02,5,1,0,1,SUSPICIOUS
553.0,1,0,23837.27,2,677.6,4.76,1,1,0.38,2,1,0,0,LEGITIMATE
0.0,1,0,3238.58,5,199.7,4.0,0,0,0.46,2,1,0,1,SUSPICIOUS
287.0,1,1,267091.12,14,402.5,1.12,0,1,4.48,8,1,0,2,COACHED_SCAM
0.0,1,0,1018.33,3,132.1,3.68,0,0,0.63,2,1,0,1,SUSPICIOUS
338.2,1,1,72533.39,13,399.8,1.67,0,1,3.48,13,1,0,2,COACHED_SCAM
0.0,1,1,3035.77,0,69.1,2.35,0,0,0.1,0,1,0,0,LEGITIMATE
0.0,1,1,2471.58,1,107.4,4.3,0,0,0.06,1,1,0,0,LEGITIMATE
0.0,1,1,74447.46,5,340.6,1.8,0,0,2.53,2,1,0,1,SUSPICIOUS
300.9,1,1,59962.55,8,419.0,1.01,0,1,2.94,13,1,0,2,COACHED_SCAM
0.0,1,0,134102.81,1,138.1,2.98,0,0,0.06,1,1,0,0,LEGITIMATE
0.0,1,0,538.1,0,188.3,3.44,0,0,0.84,0,1,1,0,LEGITIMATE
0.0,1,0,2159.07,2,286.1,5.13,0,0,0.05,3,1,0,0,LEGITIMATE
0.0,1,0,287.25,2,199.5,3.53,0,0,0.7,3,1,1,0,LEGITIMATE
0.0,1,0,2720.96,2,532.3,3.41,0,0,0.18,1,1,0,0,LEGITIMATE
0.0,1,0,2051.56,2,195.0,3.33,0,0,0.11,0,1,2,0,LEGITIMATE
0.0,1,0,2827.37,0,150.2,3.53,0,0,0.27,2,1,1,0,LEGITIMATE
584.6,1,1,177659.79,10,740.8,1.49,0,1,1.96,11,1,0,2,COACHED_SCAM
139.6,1,1,12125.75,4,220.4,4.39,0,1,0.98,2,1,0,1,SUSPICIOUS
0.0,1,0,1656.05,0,200.9,3.44,0,0,0.56,0,1,0,0,LEGITIMATE
0.0,1,0,1656.0,0,239.7,4.05,0,0,0.29,0,1,0,0,LEGITIMATE
